submitter_name	institute_name_ror	ror_id	country	lat	lon	has_ror_match	has_coordinates	match_method	assembly_count
University of Pretoria	University of Pretoria	https://ror.org/00g0p6g84	South Africa	-25.74486	28.18783	true	true	affiliation_chosen	111
Vanderbilt University	Vanderbilt University	https://ror.org/02vm5rt34	United States	36.16589	-86.78444	true	true	affiliation_chosen	111
Wellcome Sanger Institute	Wellcome Sanger Institute	https://ror.org/05cy4wa09	United Kingdom	52.2	0.11667	true	true	affiliation_chosen	111
University of Exeter	University of Exeter	https://ror.org/03yghzc09	United Kingdom	50.7236	-3.52751	true	true	affiliation_chosen	109
Fish10K						false	false	none	107
Mohammed Bin Rashid University of Medicine and Health Sciences	Mohammed Bin Rashid University of Medicine and Health Sciences	https://ror.org/01xfzxq83	United Arab Emirates	25.07725	55.30927	true	true	affiliation_chosen	106
Shed LighT in the daRk lineagES of the Fungal tree of life (STRES)						false	false	none	103
Utrecht University	Utrecht University	https://ror.org/04pp8hn57	The Netherlands	52.09083	5.12222	true	true	affiliation_chosen	103
THE JACKSON LABORATORY	Jackson Laboratory	https://ror.org/021sy4w91	United States	44.38758	-68.2039	true	true	affiliation_chosen	102
UNIVERSITY OF CALIFORNIA AT BERKELEY	University of California, Berkeley	https://ror.org/01an7q238	United States	37.87159	-122.27275	true	true	affiliation_chosen	102
Uppsala University	Uppsala University	https://ror.org/048a87296	Sweden	59.85882	17.63889	true	true	affiliation_chosen	102
Aalborg University	Aalborg University	https://ror.org/04m5j1k67	Denmark	57.048	9.9187	true	true	affiliation_chosen	101
COMPLUTENSE UNIVERSITY OF MADRID	Universidad Complutense de Madrid	https://ror.org/02p0gd045	Spain	40.4165	-3.70256	true	true	affiliation_chosen	100
Swiss Federal Research Institute WSL	Swiss Federal Institute for Forest, Snow and Landscape Research	https://ror.org/04bs5yc70	Switzerland	47.35515	8.44256	true	true	dump_alias_lookup	100
Curtin University	Curtin University	https://ror.org/02n415q13	Australia	-31.95224	115.8614	true	true	affiliation_chosen	99
University of Amsterdam	University of Amsterdam	https://ror.org/04dkp9463	The Netherlands	52.37403	4.88969	true	true	affiliation_chosen	99
Kunming University of Science and Technology	Kunming University of Science and Technology	https://ror.org/00xyeez13	China	25.03889	102.71833	true	true	affiliation_chosen	98
Oregon State University	Oregon State University	https://ror.org/00ysfqy60	United States	44.56457	-123.26204	true	true	affiliation_chosen	98
Justus Liebig University Giessen	Justus-Liebig-Universität Gießen	https://ror.org/033eqas34	Germany	50.58727	8.67554	true	true	affiliation_chosen	97
Royal Botanic Gardens Kew	Royal Botanic Gardens, Kew	https://ror.org/00ynnr806	United Kingdom	51.50853	-0.12574	true	true	dump_exact_name	97
UPPSALA UNIVERISTY	Uppsala University	https://ror.org/048a87296	Sweden	59.85882	17.63889	true	true	dump_alias_lookup	97
Centro Nacional de Análisis Genómico	Centro Nacional de Análisis Genómico	https://ror.org/03mynna02	Spain	41.38879	2.15899	true	true	affiliation_chosen	96
STANFORD UNIVERSITY	Stanford University	https://ror.org/00f54p054	United States	37.42411	-122.16608	true	true	affiliation_chosen	96
Texas A&M University	Texas A&M University	https://ror.org/01f5ytq51	United States	30.62798	-96.33441	true	true	affiliation_chosen	96
University of Wisconsin Madison	University of Wisconsin–Madison	https://ror.org/01y2jtd41	United States	43.07305	-89.40123	true	true	affiliation_chosen	96
HUAZHONG AGRICULTRAL UNIVERSITY	Huazhong Agricultural University	https://ror.org/023b72294	China	30.58333	114.26667	true	true	affiliation_chosen	91
CEES						false	false	none	90
Northwestern Polytechnical University	Northwestern Polytechnical University	https://ror.org/01y0j0j86	China	34.25833	108.92861	true	true	affiliation_chosen	90
zhejiang university	Zhejiang University	https://ror.org/00a2xv884	China	30.29365	120.16142	true	true	affiliation_chosen	90
Kazusa DNA Research Institute	Kazusa DNA Research Institute	https://ror.org/04pnjx786	Japan	35.38329	139.93254	true	true	affiliation_chosen	89
CSIRO Applied Genomics Initiative	Commonwealth Scientific and Industrial Research Organisation	https://ror.org/03qn8fb07	Australia	-35.28346	149.12807	true	true	dump_alias_lookup	87
University of Copenhagen	University of Copenhagen	https://ror.org/035b05819	Denmark	55.67594	12.56553	true	true	query_exact	86
Hebei University	Hebei University	https://ror.org/01p884a79	China	38.87288	115.46246	true	true	affiliation_chosen	85
McGill University	McGill University	https://ror.org/01pxwe438	Canada	45.50884	-73.58781	true	true	affiliation_chosen	83
University of Bologna	University of Bologna	https://ror.org/01111rn36	Italy	44.49381	11.33875	true	true	affiliation_chosen	83
Swedish University of Agricultural Sciences	Swedish University of Agricultural Sciences	https://ror.org/02yy8x990	Sweden	59.85882	17.63889	true	true	affiliation_chosen	82
U.S. Geological Survey - National Wildlife Health Center	National Wildlife Health Center	https://ror.org/038d10y34	United States	43.07305	-89.40123	true	true	affiliation_chosen	82
Agriculture and Agri-Foods Canada	Agriculture and Agri-Food Canada	https://ror.org/051dzs374	Canada	45.41117	-75.69812	true	true	affiliation_chosen	77
Iowa State University	Iowa State University	https://ror.org/04rswrd78	United States	42.03471	-93.61994	true	true	affiliation_chosen	77
General Directorate of Public Health						false	false	none	76
Nofima	Nofima	https://ror.org/02v1rsx93	Norway	69.6489	18.95508	true	true	affiliation_chosen	76
International Wheat Blast Consortium						false	false	none	75
USDA ARS	Agricultural Research Service	https://ror.org/02d2m2044	United States	38.89511	-77.03637	true	true	dump_alias_lookup	75
Institute of Oceanology, Chinese Academy of Sciences	Chinese Academy of Sciences	https://ror.org/034t30j35	China	39.9075	116.39723	true	true	affiliation_chosen	73
MPI FOR DEVELOPMENTAL BIOLOGY	Max Planck Institute for Developmental Biology	https://ror.org/022jc0g24	Germany	48.52266	9.05222	true	true	dump_alias_lookup	73
IMPERIAL COLLEGE LONDON	Imperial College London	https://ror.org/041kmwe10	United Kingdom	51.50853	-0.12574	true	true	affiliation_chosen	71
KAUST	King Abdullah University of Science and Technology	https://ror.org/01q3tbs38	Saudi Arabia	21.49012	39.18624	true	true	query_exact	70
University of Ljubljana, Biotechnical Faculty	University of Ljubljana	https://ror.org/05njb9z20	Slovenia	46.05108	14.50513	true	true	affiliation_chosen	70
WTSI	Wellcome Sanger Institute	https://ror.org/05cy4wa09	United Kingdom	52.2	0.11667	true	true	query_exact	70
Human Genome Structural Variation Consortium						false	false	none	69
Indian Biological Data Centre	Regional Centre for Biotechnology	https://ror.org/00nc5f834	India	28.41124	77.31316	true	true	web_verified	69
Kazimierz Wielki University	Kio University	https://ror.org/03b657f73	Japan	34.55071	135.74678	true	true	affiliation_chosen	69
Northwest Agriculture and Forestry University	Agriculture and Forestry University	https://ror.org/01f60xs15	Nepal	27.68027	84.43647	true	true	affiliation_chosen	69
PRJEB62038						false	false	none	69
National Institute of Biological Sciences, Beijing	National Institute of Biological Sciences, Beijing	https://ror.org/00wksha49	China	39.9075	116.39723	true	true	affiliation_chosen	68
NVWA	Netherlands Food and Consumer Product Safety Authority	https://ror.org/03v2e2v10	The Netherlands	52.09083	5.12222	true	true	query_exact	68
Southwest University	Southwest University	https://ror.org/01kj4z117	China	29.56026	106.55771	true	true	affiliation_chosen	68
The Ohio State University	The Ohio State University	https://ror.org/00rs6vg23	United States	39.96118	-82.99879	true	true	affiliation_chosen	68
University of California, Santa Cruz	University of California, Santa Cruz	https://ror.org/03s65by71	United States	36.97412	-122.0308	true	true	affiliation_chosen	68
None						false	false	none	67
Canada's Genomic Enterprise						false	false	none	66
The Australian Wine Research Institute	Australian Wine Research Institute	https://ror.org/0569vjj73	Australia	-34.92866	138.59863	true	true	affiliation_chosen	65
University of Arkansas	University of Arkansas at Fayetteville	https://ror.org/05jbt9m15	United States	36.06258	-94.15743	true	true	web_verified	65
Baylor College of Medicine	Baylor College of Medicine	https://ror.org/02pttbw34	United States	29.76328	-95.36327	true	true	affiliation_chosen	64
The Chinese University of Hong Kong	Chinese University of Hong Kong	https://ror.org/00t33hh48	Hong Kong	22.27832	114.17469	true	true	affiliation_chosen	64
University of Melbourne	The University of Melbourne	https://ror.org/01ej9dk98	Australia	-37.814	144.96332	true	true	affiliation_chosen	64
Senckenberg	Senckenberg - Leibniz Institution for Biodiversity and Earth System Research	https://ror.org/00xmqmx64	Germany	50.11552	8.68417	true	true	web_verified	63
Sun Yat-sen University	Sun Yat-sen University	https://ror.org/0064kty71	China	23.11667	113.25	true	true	query_exact	63
Northwestern University	Northwestern University	https://ror.org/000e0be47	United States	42.04114	-87.69006	true	true	dump_exact_name	62
Ocean University of China	Ocean University of China	https://ror.org/04rdtx186	China	36.06488	120.38042	true	true	affiliation_chosen	62
Sveriges lantbruksuniversitet	Swedish University of Agricultural Sciences	https://ror.org/02yy8x990	Sweden	59.85882	17.63889	true	true	affiliation_chosen	62
UC Berkeley	University of California, Berkeley	https://ror.org/01an7q238	United States	37.87159	-122.27275	true	true	affiliation_chosen	62
UNIVERSITY OF EXETER	University of Exeter	https://ror.org/03yghzc09	United Kingdom	50.7236	-3.52751	true	true	affiliation_chosen	61
Zhejiang University School of Medicine	Zhejiang University	https://ror.org/00a2xv884	China	30.29365	120.16142	true	true	affiliation_chosen	61
huqiuan						false	false	none	60
Australian National University	Australian National University	https://ror.org/019wvm592	Australia	-35.28346	149.12807	true	true	affiliation_chosen	59
The University of Tokyo	The University of Tokyo	https://ror.org/057zh3y96	Japan	35.6895	139.69171	true	true	affiliation_chosen	59
North Carolina State University	North Carolina State University	https://ror.org/04tj63d06	United States	35.7721	-78.63861	true	true	affiliation_chosen	58
J Craig Venter Institute	J. Craig Venter Institute	https://ror.org/049r1ts75	United States	32.84727	-117.2742	true	true	affiliation_chosen	57
University of Arizona	University of Arizona	https://ror.org/03m2x1q45	United States	32.22174	-110.92648	true	true	affiliation_chosen	57
UNIVERSITY OF NOTTINGHAM	University of Nottingham	https://ror.org/01ee9ar58	United Kingdom	52.9536	-1.15047	true	true	affiliation_chosen	57
University of Washington	University of Washington	https://ror.org/00cvxb145	United States	47.60621	-122.33207	true	true	affiliation_chosen	57
University Paris-Sud	Université Paris-Saclay	https://ror.org/03xjwb503	France	48.68333	2.13333	true	true	dump_fuzzy	57
Wageningen University	Wageningen University & Research	https://ror.org/04qw24q55	The Netherlands	51.97	5.66667	true	true	dump_alias_lookup	57
CEBITEC						false	false	none	56
Jiangxi Cancer Hospital	Jiangxi Provincial Cancer Hospital	https://ror.org/00v8g0168	China	28.68396	115.85306	true	true	affiliation_chosen	56
Michigan State University	Michigan State University	https://ror.org/05hs6h993	United States	42.73698	-84.48387	true	true	affiliation_chosen	56
Bat1K Project						false	false	none	55
Oklahoma State University	Oklahoma State University	https://ror.org/01g9vbr38	United States	36.11561	-97.05837	true	true	affiliation_chosen	55
University of Lausanne	University of Lausanne	https://ror.org/019whta54	Switzerland	46.516	6.63282	true	true	affiliation_chosen	55
University of Minnesota	University of Minnesota	https://ror.org/017zqws13	United States	44.97997	-93.26384	true	true	affiliation_chosen	55
DNA Zoo						false	false	none	54
DISAFA						false	false	none	53
The University of Auckland	University of Auckland	https://ror.org/03b94tp07	New Zealand	-36.84853	174.76349	true	true	affiliation_chosen	53
University of Zurich	University of Zurich	https://ror.org/02crff812	Switzerland	47.36667	8.55	true	true	affiliation_chosen	53
Sorbonne University	Sorbonne Université	https://ror.org/02en5vm52	France	48.85341	2.3488	true	true	affiliation_chosen	52
Universite Claude Bernard Lyon 1	Lyon 1 Université	https://ror.org/029brtt94	France	45.76601	4.8795	true	true	affiliation_chosen	52
University of Toronto	University of Toronto	https://ror.org/03dbr7087	Canada	43.70643	-79.39864	true	true	affiliation_chosen	52
Max Planck Institute for Plant Breeding Research	Max Planck Institute for Plant Breeding Research	https://ror.org/044g3zk14	Germany	50.93333	6.95	true	true	affiliation_chosen	51
Minderoo OceanOmics Centre at University of the Western Australia	The University of Western Australia	https://ror.org/047272k79	Australia	-31.95224	115.8614	true	true	dump_contained_name	51
NBIS (National Bioinformatics Infrastructure Sweden)	National Bioinformatics Infrastructure Sweden	https://ror.org/00enajs79	Sweden	59.85882	17.63889	true	true	affiliation_chosen	51
SkinScience, Zealand University Hospital	Zealand University Hospital	https://ror.org/00363z010	Denmark	55.64152	12.08035	true	true	affiliation_chosen	51
University of Oslo	University of Oslo	https://ror.org/01xtthb56	Norway	59.91273	10.74609	true	true	affiliation_chosen	51
IGS	Indiana Geological and Water Survey	https://ror.org/00pnhtk88	United States	39.16533	-86.52639	true	true	dump_exact_acronym	50
MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH	Max Planck Institute for Plant Breeding Research	https://ror.org/044g3zk14	Germany	50.93333	6.95	true	true	affiliation_chosen	50
university of florida	University of Florida	https://ror.org/02y3ad647	United States	29.65163	-82.32483	true	true	affiliation_chosen	50
University of Montana	University of Montana	https://ror.org/0078xmk34	United States	46.87215	-113.994	true	true	affiliation_chosen	50
University of California, Davis	University of California, Davis	https://ror.org/05rrcem69	United States	38.54491	-121.74052	true	true	affiliation_chosen	49
Chinese Academy of Forestry	Chinese Academy of Forestry	https://ror.org/0360dkv71	China	39.9075	116.39723	true	true	affiliation_chosen	48
Stockholm University	Stockholm University	https://ror.org/05f0yaq80	Sweden	59.32938	18.06871	true	true	affiliation_chosen	48
Universite Laval	Université Laval	https://ror.org/04sjchr03	Canada	46.81228	-71.21454	true	true	affiliation_chosen	48
Colorado College	Colorado College	https://ror.org/03tg3h819	United States	38.83388	-104.82136	true	true	affiliation_chosen	47
Earlham Institute	Earlham Institute	https://ror.org/018cxtf62	United Kingdom	52.62783	1.29834	true	true	affiliation_chosen	47
EMG						false	false	none	47
Qingdao Agricultural University	Qingdao Agricultural University	https://ror.org/051qwcj72	China	36.06488	120.38042	true	true	affiliation_chosen	47
South China Botanical Garden, Chinese Academy of Sciences	Chinese Academy of Sciences	https://ror.org/034t30j35	China	39.9075	116.39723	true	true	affiliation_chosen	47
The Max Planck Institute of Molecular Cell Biology and Genetics	Max Planck Institute of Molecular Cell Biology and Genetics	https://ror.org/05b8d3w18	Germany	51.05089	13.73832	true	true	affiliation_chosen	47
Centre of Molecular and Environmental Biology, UM, Portugal	University of Minho	https://ror.org/037wpkx04	Portugal	41.5514	-8.42311	true	true	web_verified	46
ELIXIR Norway						false	false	none	46
JGI	Joint Genome Institute	https://ror.org/04xm1d337	United States	37.87159	-122.27275	true	true	dump_exact_acronym	46
Northern Arizona University	Northern Arizona University	https://ror.org/0272j5188	United States	35.19807	-111.65127	true	true	affiliation_chosen	46
Okinawa Institute of Science and Technology OIST	Okinawa Institute of Science and Technology Graduate University	https://ror.org/02qg15b79	Japan	26.47595	127.85278	true	true	affiliation_chosen	46
Westerdijk Fungal Biodiversity Institute	Westerdijk Fungal Biodiversity Institute	https://ror.org/030a5r161	The Netherlands	52.09083	5.12222	true	true	affiliation_chosen	46
Boosting Plant-Endophyte Stability, Compatibility and Performance across scales (BestPass)						false	false	none	45
CSIRO	Commonwealth Scientific and Industrial Research Organisation	https://ror.org/03qn8fb07	Australia	-35.28346	149.12807	true	true	query_exact	45
ETH Zurich	ETH Zurich	https://ror.org/05a28rw58	Switzerland	47.36667	8.55	true	true	affiliation_chosen	45
Guizhou University	Guizhou University	https://ror.org/02wmsc916	China	26.58333	106.71667	true	true	affiliation_chosen	45
UNIVERSITY OF LEEDS	University of Leeds	https://ror.org/024mrxd33	United Kingdom	53.79648	-1.54785	true	true	affiliation_chosen	45
Colorado State University	Colorado State University	https://ror.org/03k1gpj17	United States	40.58526	-105.08442	true	true	affiliation_chosen	44
